method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
coda_risk,wifi,0.9949166666666667,21.410230685536373,41.8829,0.0006666666666666666,0.007416666666666667,0.010557847333333332,0.9925833333333334,0.007416666666666667,0.0,0.00310637226093527,0.007416666666666667,0.0,0.0,0.0,0.0,mnist,29,0.1
local_only,lte,0.99625,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1
cloud_only,lte,0.99625,76.61504968586108,131.44071358816655,0.48733333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
static_split,lte,0.99625,76.61504968586108,131.44071358816655,0.48733333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
oracle_split,lte,0.99625,76.61504968586108,131.44071358816655,0.48733333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
confidence_exit,lte,0.9866666666666667,19.61254488777055,19.199,0.00025,0.0003333333333333333,0.009794482083333332,0.9996666666666667,0.0003333333333333333,0.0,0.013337779259753251,0.0003333333333333333,0.0,0.0,0.0,0.0,mnist,29,0.1
branchynet,lte,0.978,19.199000000000005,19.199,0.0,0.0,0.0096,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,29,0.1
deadline_greedy,lte,0.99625,76.61504968586108,131.44071358816655,0.48733333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1
aodpart,lte,0.9866666666666667,19.61254488777055,19.199,0.00025,0.0003333333333333333,0.009794482083333332,0.9996666666666667,0.0003333333333333333,0.0,0.013337779259753251,0.0003333333333333333,0.0,0.0,0.0,0.0,mnist,29,0.1
conformal_exit,lte,0.9951666666666666,23.516378947600362,54.82868399540049,0.0265,0.05466666666666667,0.009707323083333332,0.9453333333333334,0.05466666666666667,0.0,0.0019393511988716502,0.05466666666666667,0.0,0.0,0.0,0.0,mnist,29,0.1
